Pancreas Endothelial,Pancreas Alpha,Pancreas Ductal,Pancreas Acinar,Pancreas Delta,Pancreas Gamma,Pancreas Stellate,Pancreas Beta
CELA2B,IRX2,MMP7,ALDOB,LEPR,PPY,COL3A1,ADCYAP1
GP2,GC,KRT19,REG1B,RBP4,DPYSL3,PDGFRB,HADH
CELA2A,PAPPA2,S100A14,ALB,CBLN4,SERTM1,COL1A2,PCSK1
SYCN,F10,TINAGL1,GSTA1,BCHE,STMN2,BGN,MAFA
CTRL,PCSK2,SLC4A4,ANPEP,SST,AQP3,SPARC,DLK1
CTRC,RGS4,MALL,LGALS2,PCSK1,ETV1,CYGB,IAPP
PNLIPRP1,TM4SF4,CFTR,REG3A,HHEX,PLEKHB1,COL6A2,C1QL1
PNLIP,MUC13,LGALS4,FGL1,EDN3,PEG10,COL4A1,ELMO1
KLK1,VSTM2L,SERPINA5,REG1A,PCP4,CARTPT,COL1A1,HOPX
CLPS,FEV,LAMC2,GSTA2,UCP2,PAX6,IGFBP4,RBP4
PLA2G1B,CRYBA2,KRT7,LYZ,NGFR,PCSK1N,COL15A1,NPTX2
CELA3B,TMEM176A,TACSTD2,SPINK1,GAP43,SLC6A4,CRISPLD2,SYT13
CPA1,TMEM176B,CCL2,CPA2,CALB1,TM4SF4,AEBP1,C1ORF127
CPA2,GPX3,ANXA3,REG3G,DHRS2,SCG2,COL6A3,RGS16
CUZD1,VGF,ALDH1A3,KLK1,PAPPA2,FXYD2,COL5A3,ABCC8
CPB1,LOXL4,CFB,PRSS1,CDH19,ARX,EMILIN1,VAT1L
PRSS3,KCTD12,PMEPA1,CPB1,GPX3,PTPRN,PXDN,PDX1
AMY2A,PCSK1N,GPRC5B,CTRB2,PIPOX,FGB,COL5A1,GAD2
CELA3A,FXYD5,KRT23,PNLIP,CALCB,SLITRK6,NOTCH3,UCHL1
CEL,CALY,ANXA4,CTRB1,TMOD1,PTP4A3,CRLF1,STX1A
